hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar),
6,780,0.165221,0.0543045,0,0,0.002753683333333
6,840,0.165219,0.0543049,0,0,0.00275365
6,900,0.165152,0.0542804,0,0,0.002752533333333
6,960,0.165158,0.0542859,0,0,0.002752633333333
6,1020,0.165159,0.054286,0,0,0.00275265
6,1080,0.16519,0.0542959,0,0,0.002753166666667
6,1140,0.165257,0.0543194,0,0,0.002754283333333
6,1200,0.165258,0.0543174,0,0,0.0027543
6,1260,0.0391421,0.0128652,0,0,0.000652368333333
6,1320,0.0391399,0.0128647,0,0,0.000652331666667
6,1380,0.0391413,0.0128653,0,0,0.000652355
6,1440,0.0391451,0.0128666,0,0,0.000652418333333
6,1500,0.0391099,0.0128536,0,0,0.000651831666667
6,1560,0.0391207,0.0128588,0,0,0.000652011666667
6,1620,0.0825535,0.0271316,0,0,0.001375891666667
6,1680,0.251368,0.0826023,0,0,0.004189466666667
6,1740,0.25139,0.0826294,0,0,0.004189833333333
6,1800,0.251447,0.0826481,0,0,0.004190783333333
6,1860,0.208686,0.0685928,0,0,0.0034781
6,1920,0.208647,0.0685776,0,0,0.00347745
6,1980,0.208669,0.0685864,0,0,0.003477816666667
6,2040,0.25201,0.0828272,0,0,0.004200166666667
6,2100,0.252059,0.0828488,0,0,0.004200983333333
6,2160,0.252056,0.0828467,0,0,0.004200933333333
6,2220,0.295495,0.0971244,0,0,0.004924916666667
6,2280,0.295464,0.0971125,0,0,0.0049244
6,2340,0.295408,0.0970928,0,0,0.004923466666667
6,2400,0.295328,0.0970664,0,0,0.004922133333333
6,2460,0.295268,0.0970478,0,0,0.004921133333333
6,2520,0.29531,0.0970653,0,0,0.004921833333333
6,2580,0.295307,0.097063,0,0,0.004921783333333
6,2640,0.2953,0.0970583,0,0,0.004921666666667
6,2700,0.295297,0.0970593,0,0,0.004921616666667
6,2760,0.295349,0.0970785,0,0,0.004922483333333
6,2820,0.295266,0.0970469,0,0,0.0049211
6,2880,0.295148,0.0970069,0,0,0.004919133333333
6,2940,0.29513,0.0970045,0,0,0.004918833333333
6,3000,0.124272,0.0408456,0,0,0.0020712
6,3060,0.124251,0.0408388,0,0,0.00207085
6,3120,0.236677,0.077792,0,0,0.003944616666667
6,3180,0.239787,0.0788184,0,0,0.00399645
6,3240,0.23983,0.0788294,0,0,0.003997166666667
6,3300,0.304879,0.100208,0,0,0.005081316666667
6,3360,0.305092,0.10028,0,0,0.005084866666667
6,3420,0.370224,0.121676,0,0,0.0061704
6,3480,0.370249,0.121696,0,0,0.006170816666667
6,3540,0.370373,0.121742,0,0,0.006172883333333
7,0,0.691117,0.22716,0,0,0.011518616666667
7,60,0.690565,0.226976,0,0,0.011509416666667
7,120,0.816865,0.268512,0,0,0.013614416666667
7,180,0.816625,0.2684,0,0,0.013610416666667
7,240,0.495779,0.162956,0,0,0.008262983333333
7,300,0.494155,0.162419,0,0,0.008235916666667
7,360,0.494151,0.162419,0,0,0.00823585
7,420,0.556205,0.182814,0,0,0.009270083333333
7,480,0.38533,0.126653,0,0,0.006422166666667
7,540,0.385084,0.126564,0,0,0.006418066666667
7,600,0.485998,0.15974,0,0,0.008099966666667
7,660,0.609359,0.200288,0,0,0.010155983333333
7,720,0.503045,0.165343,0,0,0.008384083333333
7,780,0.508201,0.167041,0,0,0.008470016666667
7,840,0.55133,0.181216,0,0,0.009188833333333
7,900,0.626224,0.20583,0,0,0.010437066666667
7,960,0.628196,0.206478,0,0,0.010469933333333
7,1020,0.64965,0.213526,0,0,0.0108275
7,1080,0.649659,0.213532,0,0,0.01082765
7,1140,0.710883,0.233654,0,0,0.01184805
7,1200,2.64635,0.869644,0,0,0.044105833333333
7,1260,2.60403,0.855913,0,0,0.0434005
7,1320,2.61849,0.860673,0,0,0.0436415
7,1380,2.56615,0.843607,0,0,0.042769166666667
7,1440,2.56655,0.843587,0,0,0.042775833333333
